"Entrez.ID","TxDb.hg38.Transcript.ID","Chromosome","Start.BP","End.BP","Symbol","Ensembl.ID","Symbol.Alt","Bin.ID"
"1",230133,"chr19",58345178,58347634,"A1BG","ENSG00000121410",NA,11669
"29974",129847,"chr10",50799409,50885627,"A1CF","ENSG00000148584",NA,10159
"87769",165721,"chr13",100530164,100533802,"A2LD1","ENSG00000134864","GGACT",20106
"2",155373,"chr12",9067664,9091412,"A2M","ENSG00000175899",NA,1813
"144568",148387,"chr12",8822621,8876787,"A2ML1","ENSG00000166535",NA,1764
"53947",244448,"chr22",42692121,42694986,"A4GALT","ENSG00000128274",NA,8538
"8086",157491,"chr12",53307456,53314815,"AAAS","ENSG00000094914",NA,10661
"65985",154102,"chr12",125065434,125107162,"AACS","ENSG00000081760",NA,25013
"13",47699,"chr3",151814073,151824860,"AADAC","ENSG00000114771",NA,30362
"126767",1052,"chr1",12716110,12728760,"AADACL3","ENSG00000188984",NA,2543
"51166",67452,"chr4",170060222,170089956,"AADAT","ENSG00000109576",NA,34012
"195827",121528,"chr9",96639577,96654748,"AAED1","ENSG00000158122","PRXL2C",19327
"79719",182333,"chr15",67200667,67254661,"AAGAB","ENSG00000103591",NA,13440
"22848",35076,"chr2",69457997,69643739,"AAK1","ENSG00000115977",NA,13891
"14",40455,"chr2",218264129,218270137,"AAMP","ENSG00000127837",NA,43652
"15",202180,"chr17",76453351,76470117,"AANAT","ENSG00000129673",NA,15290
"16",194898,"chr16",70251983,70289317,"AARS","ENSG00000090861","AARS1",14050
"57505",88426,"chr6",44298731,44313347,"AARS2","ENSG00000124608",NA,8859
"80755",207115,"chr17",42950526,42952135,"AARSD1","ENSG00000266967",NA,8590
"132949",64467,"chr4",56338287,56387508,"AASDH","ENSG00000157426",NA,11267
"60496",138541,"chr11",106075501,106091459,"AASDHPPT","ENSG00000149313",NA,21215
"10157",102808,"chr7",122064583,122144300,"AASS","ENSG00000008311",NA,24412
"26574",199003,"chr17",36948925,36996972,"AATF","ENSG00000275700",NA,7389
"9625",210368,"chr17",81110487,81131948,"AATK","ENSG00000181409",NA,16222
"18",185786,"chr16",8674596,8750456,"ABAT","ENSG00000183044",NA,1734
"19",121773,"chr9",104781006,104928155,"ABCA1","ENSG00000165029",NA,20956
"10349",209248,"chr17",69147214,69150062,"ABCA10","ENSG00000154263",NA,13829
"26154",40329,"chr2",214931542,215138626,"ABCA12","ENSG00000144452",NA,42986
"154664",93849,"chr7",48171458,48272995,"ABCA13","ENSG00000179869",NA,9634
"20",123286,"chr9",137007234,137028237,"ABCA2","ENSG00000107331",NA,27401
"21",191357,"chr16",2275881,2340728,"ABCA3","ENSG00000167972",NA,455
"24",16622,"chr1",93992834,94121148,"ABCA4","ENSG00000198691",NA,18798
"23461",209262,"chr17",69244311,69327133,"ABCA5","ENSG00000154265",NA,13848
"23460",209239,"chr17",69078702,69141895,"ABCA6","ENSG00000154262",NA,13815
"10347",215912,"chr19",1039997,1065567,"ABCA7","ENSG00000064687",NA,207
"10351",209217,"chr17",68867289,68955392,"ABCA8","ENSG00000141338",NA,13773
"10350",209231,"chr17",68974488,69060927,"ABCA9","ENSG00000154258",NA,13794
"5243",101114,"chr7",87503017,87600884,"ABCB1","ENSG00000085563",NA,17500
"23456",21954,"chr1",229516582,229558707,"ABCB10","ENSG00000135776",NA,45903
"8647",38603,"chr2",168915498,168927234,"ABCB11","ENSG00000073734",NA,33783
"5244",101102,"chr7",87401696,87475680,"ABCB4","ENSG00000005471",NA,17480
"340273",92749,"chr7",20615667,20757008,"ABCB5","ENSG00000004846",NA,4123
"10058",40588,"chr2",219209772,219211039,"ABCB6","ENSG00000115657",NA,43841
"22",251211,"chrX",75051048,75156283,"ABCB7","ENSG00000131269",NA,15010
"11194",97830,"chr7",151028422,151047782,"ABCB8","ENSG00000197150",NA,30205
"23457",160770,"chr12",122920951,122966460,"ABCB9","ENSG00000150967",NA,24584
"4363",186159,"chr16",15949138,16057159,"ABCC1","ENSG00000103222",NA,3189
"89845",82736,"chr6",43427366,43441897,"ABCC10","ENSG00000124574",NA,8685
"85320",193647,"chr16",48164952,48167238,"ABCC11","ENSG00000121270",NA,9632
"94160",193633,"chr16",48080882,48155993,"ABCC12","ENSG00000140798",NA,9616
"1244",126817,"chr10",99782640,99794348,"ABCC2","ENSG00000023839",NA,19956
"8714",200685,"chr17",50634777,50635915,"ABCC3","ENSG00000108846",NA,10126
